bar,dir,trigger,outcome
2022-01-03 15:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 17700 exp=2024-10-03
2022-01-04 11:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 17750 exp=2024-10-03
2022-01-04 12:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 17700 exp=2024-10-03
2022-01-04 13:35:00,BEARISH,PendingFlip,FAIL:no_contract PE 17750 exp=2024-10-03
2022-01-04 14:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17700 exp=2024-10-03
2022-01-05 11:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17800 exp=2024-10-03
2022-01-06 09:35:00,BEARISH,PendingFlip,FAIL:no_contract PE 17750 exp=2024-10-03
2022-01-06 09:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 17800 exp=2024-10-03
2022-01-06 09:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 17750 exp=2024-10-03
2022-01-06 11:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17650 exp=2024-10-03
2022-01-06 12:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 17750 exp=2024-10-03
2022-01-06 13:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 17650 exp=2024-10-03
2022-01-06 15:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 17800 exp=2024-10-03
2022-01-07 09:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17850 exp=2024-10-03
2022-01-07 11:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 17900 exp=2024-10-03
2022-01-07 13:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17750 exp=2024-10-03
2022-01-07 14:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 17850 exp=2024-10-03
2022-01-07 15:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 17750 exp=2024-10-03
2022-01-10 12:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 18000 exp=2024-10-03
2022-01-10 12:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17900 exp=2024-10-03
2022-01-10 14:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 17900 exp=2024-10-03
2022-01-11 11:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 17950 exp=2024-10-03
2022-01-11 12:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 18100 exp=2024-10-03
2022-01-11 13:00:00,BULLISH,PendingFlip,FAIL:no_contract CE 18000 exp=2024-10-03
2022-01-11 14:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 18100 exp=2024-10-03
2022-01-12 09:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 18100 exp=2024-10-03
2022-01-12 09:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 18100 exp=2024-10-03
2022-01-12 09:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 18100 exp=2024-10-03
2022-01-12 09:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 18100 exp=2024-10-03
2022-01-12 09:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 18100 exp=2024-10-03
2022-01-12 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 18100 exp=2024-10-03
2022-01-12 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 18100 exp=2024-10-03
2022-01-12 12:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 18250 exp=2024-10-03
2022-01-12 14:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 18250 exp=2024-10-03
2022-01-12 14:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 18150 exp=2024-10-03
2022-01-13 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 18150 exp=2024-10-03
2022-01-13 13:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 18250 exp=2024-10-03
2022-01-13 14:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 18150 exp=2024-10-03
2022-01-13 14:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 18250 exp=2024-10-03
2022-01-13 15:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 18200 exp=2024-10-03
2022-01-14 09:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 18250 exp=2024-10-03
2022-01-14 12:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 18150 exp=2024-10-03
2022-01-17 12:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 18350 exp=2024-10-03
2022-01-17 13:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 18250 exp=2024-10-03
2022-01-17 13:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 18350 exp=2024-10-03
2022-01-17 14:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 18250 exp=2024-10-03
2022-01-18 11:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 18200 exp=2024-10-03
2022-01-18 14:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 18350 exp=2024-10-03
2022-01-19 12:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 17900 exp=2024-10-03
2022-01-19 12:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 17950 exp=2024-10-03
2022-01-19 13:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 17850 exp=2024-10-03
2022-01-19 14:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17900 exp=2024-10-03
2022-01-20 09:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 17950 exp=2024-10-03
2022-01-20 09:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 17900 exp=2024-10-03
2022-01-20 09:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 17950 exp=2024-10-03
2022-01-20 09:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 17950 exp=2024-10-03
2022-01-20 09:35:00,BEARISH,PendingFlip,FAIL:no_contract PE 17950 exp=2024-10-03
2022-01-20 09:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 17950 exp=2024-10-03
2022-01-20 09:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 17950 exp=2024-10-03
2022-01-20 12:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17750 exp=2024-10-03
2022-01-20 13:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 17750 exp=2024-10-03
2022-01-21 10:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17700 exp=2024-10-03
2022-01-21 11:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17550 exp=2024-10-03
2022-01-21 14:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17700 exp=2024-10-03
2022-01-24 10:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17500 exp=2024-10-03
2022-01-24 15:00:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-01-25 09:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 17150 exp=2024-10-03
2022-01-25 11:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17050 exp=2024-10-03
2022-01-25 12:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 17150 exp=2024-10-03
2022-01-25 13:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-01-27 09:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 17050 exp=2024-10-03
2022-01-27 13:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 16950 exp=2024-10-03
2022-01-28 09:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17300 exp=2024-10-03
2022-01-28 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 17300 exp=2024-10-03
2022-01-28 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-01-28 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17300 exp=2024-10-03
2022-01-28 13:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 17400 exp=2024-10-03
2022-03-02 12:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 16550 exp=2024-10-03
2022-03-02 13:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-03-02 13:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-03-02 15:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 16600 exp=2024-10-03
