entry_time,exit_time,type,signal,entry_spot,strike,opt_type,itm_depth,entry_premium,exit_premium,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,qty,equity_at_entry
2024-08-23 14:10:00,2024-08-23 15:15:00,BUY_CE,BULLISH,24831.25,24800,CE,1,524.0,493.8,-2264.999999999999,117.50782939,-2382.507829389999,IntradayExit,2024-10-03,0,False,75,200000
2024-08-26 11:05:00,2024-08-26 11:45:00,BUY_PE,BEARISH,24981.15,25050,PE,1,596.04,596.04,0.0,130.833412204,-130.833412204,Reversal,2024-10-03,0,False,75,197617
2024-08-26 11:50:00,2024-08-26 12:25:00,BUY_CE,BULLISH,25004.05,24950,CE,1,526.0,526.0,0.0,121.0057426,-121.0057426,Reversal,2024-10-03,0,False,75,197487
2024-08-26 12:30:00,2024-08-26 14:35:00,BUY_PE,BEARISH,25016.45,25050,PE,1,596.04,596.04,0.0,130.833412204,-130.833412204,Reversal,2024-10-03,0,False,75,197366
2024-08-26 14:40:00,2024-08-26 15:15:00,BUY_CE,BULLISH,25019.8,24950,CE,1,526.0,526.0,0.0,121.0057426,-121.0057426,IntradayExit,2024-10-03,0,False,75,197235
2024-08-27 14:40:00,2024-08-27 15:15:00,BUY_PE,BEARISH,25042.25,25100,PE,1,332.5,332.5,0.0,93.85477075,-93.85477075,IntradayExit,2024-10-03,0,False,75,197114
2024-08-28 15:05:00,2024-08-28 15:15:00,BUY_PE,BEARISH,25059.7,25100,PE,1,333.0,333.0,0.0,93.92492829999999,-93.92492829999999,IntradayExit,2024-10-03,0,False,75,197020
2024-08-29 12:55:00,2024-08-29 13:25:00,BUY_CE,BULLISH,25138.15,25100,CE,1,498.9,498.9,0.0,117.20320339,-117.20320339,Reversal,2024-10-03,0,False,75,196926
2024-08-29 13:30:00,2024-08-29 14:55:00,BUY_PE,BEARISH,25129.55,25200,PE,1,323.6,370.0,3479.999999999998,97.54907668,3382.4509233199983,Reversal,2024-10-03,0,False,75,196809
2024-08-29 15:00:00,2024-08-29 15:15:00,BUY_CE,BULLISH,25181.35,25150,CE,1,400.2,400.2,0.0,103.35410302000001,-103.35410302000001,IntradayExit,2024-10-03,0,False,75,200191
2024-08-30 13:20:00,2024-08-30 13:50:00,BUY_PE,BEARISH,25246.35,25300,PE,1,336.0,341.2,389.99999999999915,94.89984286,295.10015713999917,Reversal,2024-10-03,0,False,75,200088
2024-08-30 13:55:00,2024-08-30 15:05:00,BUY_CE,BULLISH,25238.1,25200,CE,1,470.4,469.0,-104.9999999999983,113.05507747000001,-218.0550774699983,Reversal,2024-10-03,0,False,75,200383
2024-08-30 15:10:00,2024-08-30 15:15:00,BUY_PE,BEARISH,25242.4,25300,PE,1,311.05,311.05,0.0,90.845011855,-90.845011855,IntradayExit,2024-10-03,0,False,75,200165
2024-09-02 09:35:00,2024-09-02 12:10:00,BUY_CE,BULLISH,25301.05,25250,CE,1,467.35,462.2,-386.25000000000256,112.22761935249999,-498.47761935250253,Reversal,2024-10-03,0,False,75,200074
2024-09-02 13:45:00,2024-09-02 15:10:00,BUY_CE,BULLISH,25258.4,25200,CE,1,461.9,468.3,480.00000000000256,112.69335301000001,367.30664699000255,Reversal,2024-10-03,0,False,75,199576
2024-09-03 12:05:00,2024-09-03 14:05:00,BUY_CE,BULLISH,25259.2,25200,CE,1,468.0,479.05,828.7500000000009,114.0446514775,714.7053485225009,Reversal,2024-10-03,0,False,75,199943
2024-09-03 14:10:00,2024-09-03 14:45:00,BUY_PE,BEARISH,25272.05,25300,PE,1,321.8,318.0,-285.00000000000085,91.94857549,-376.94857549000085,Reversal,2024-10-03,0,False,75,200658
2024-09-03 14:50:00,2024-09-03 15:15:00,BUY_CE,BULLISH,25295.8,25250,CE,1,453.25,453.25,0.0,110.797819075,-110.797819075,IntradayExit,2024-10-03,0,False,75,200281
2024-09-04 09:30:00,2024-09-04 13:20:00,BUY_PE,BEARISH,25109.15,25150,PE,1,333.2,330.0,-239.99999999999915,93.61208716,-333.61208715999913,Reversal,2024-10-03,0,False,75,200170
2024-09-04 13:25:00,2024-09-04 14:10:00,BUY_CE,BULLISH,25169.45,25100,CE,1,478.7,462.75,-1196.249999999999,112.66964419749999,-1308.919644197499,Reversal,2024-10-03,0,False,75,199836
2024-09-04 14:15:00,2024-09-04 15:10:00,BUY_PE,BEARISH,25149.55,25200,PE,1,335.2,345.6,780.0000000000025,95.34156004000002,684.6584399600025,Reversal,2024-10-03,0,False,75,198527
2024-09-04 15:15:00,2024-09-04 15:20:00,BUY_CE,BULLISH,25203.85,25150,CE,1,447.05,447.0,-3.7500000000008527,109.9225388275,-113.67253882750086,IntradayExit,2024-10-03,0,False,75,199212
2024-09-05 11:25:00,2024-09-05 12:10:00,BUY_CE,BULLISH,25173.65,25100,CE,1,470.25,475.2,371.24999999999915,113.71051189750001,257.53948810249915,Reversal,2024-10-03,0,False,75,199098
2024-09-05 12:15:00,2024-09-05 12:45:00,BUY_PE,BEARISH,25187.05,25250,PE,1,338.85,338.85,0.0,94.745771635,-94.745771635,Reversal,2024-10-03,0,False,75,199356
2024-09-05 12:50:00,2024-09-05 13:45:00,BUY_CE,BULLISH,25181.35,25150,CE,1,444.1,447.05,221.24999999999915,109.8282069325,111.42179306749915,Reversal,2024-10-03,0,False,75,199261
2024-09-05 13:50:00,2024-09-05 14:15:00,BUY_PE,BEARISH,25167.85,25200,PE,1,324.55,315.35,-689.9999999999991,91.75916624500002,-781.759166244999,Reversal,2024-10-03,0,False,75,199373
2024-09-05 14:20:00,2024-09-05 14:50:00,BUY_CE,BULLISH,25157.15,25100,CE,1,482.2,471.35,-813.7499999999975,113.7040630525,-927.4540630524975,Reversal,2024-10-03,0,False,75,198591
2024-09-05 14:55:00,2024-09-05 15:15:00,BUY_PE,BEARISH,25148.15,25200,PE,1,329.7,329.7,0.0,93.46188846999999,-93.46188846999999,IntradayExit,2024-10-03,0,False,75,197663
2024-09-06 12:00:00,2024-09-06 13:10:00,BUY_CE,BULLISH,24924.75,24850,CE,1,480.95,435.6,-3401.2499999999973,109.8532962025,-3511.1032962024974,Reversal,2024-10-03,0,False,75,197570
2024-09-06 13:15:00,2024-09-06 14:15:00,BUY_PE,BEARISH,24863.45,24900,PE,1,358.85,356.4,-183.7500000000034,97.2910688875,-281.0410688875034,Reversal,2024-10-03,0,False,75,194059
2024-09-06 14:20:00,2024-09-06 15:15:00,BUY_CE,BULLISH,24833.75,24800,CE,1,450.0,466.45,1233.749999999999,112.09425544750002,1121.655744552499,IntradayExit,2024-10-03,0,False,75,193778
2024-09-09 09:55:00,2024-09-09 13:05:00,BUY_PE,BEARISH,24842.0,24900,PE,1,353.85,332.95,-1567.5000000000025,94.62396783999998,-1662.1239678400025,Reversal,2024-10-03,0,False,75,194899
2024-09-09 13:10:00,2024-09-09 14:20:00,BUY_CE,BULLISH,24882.15,24850,CE,1,412.0,440.55,2141.250000000001,108.0513255025,2033.1986744975009,Reversal,2024-10-03,0,False,75,193237
2024-09-09 14:25:00,2024-09-09 15:15:00,BUY_PE,BEARISH,24869.3,24900,PE,1,331.5,296.45,-2628.750000000001,89.98048977250001,-2718.7304897725007,IntradayExit,2024-10-03,0,False,75,195270
2024-09-09 15:20:00,2024-09-09 15:25:00,BUY_CE,BULLISH,24943.2,24900,CE,1,413.6,413.6,0.0,105.23432536,-105.23432536,IntradayExit,2024-10-03,0,False,75,192552
2024-09-10 11:00:00,2024-09-10 13:30:00,BUY_CE,BULLISH,24968.65,24900,CE,1,388.0,500.0,8400.0,113.5739044,8286.4260956,Target,2024-10-03,0,False,75,192447
2024-09-10 13:30:00,2024-09-10 14:35:00,BUY_CE,BULLISH,25116.7,25050,CE,1,413.15,388.6,-1841.2499999999966,102.55580946250001,-1943.8058094624967,Reversal,2024-10-03,0,False,75,200733
2024-09-10 14:40:00,2024-09-10 15:15:00,BUY_PE,BEARISH,25070.0,25100,PE,1,291.0,301.3,772.5000000000009,89.12897936499999,683.371020635001,IntradayExit,2024-10-03,0,False,75,198789
2024-09-11 11:30:00,2024-09-11 12:25:00,BUY_PE,BEARISH,25077.8,25150,PE,1,317.8,317.8,0.0,91.79213878,-91.79213878,Reversal,2024-10-03,0,False,75,199473
2024-09-11 12:30:00,2024-09-11 13:20:00,BUY_CE,BULLISH,25105.95,25050,CE,1,363.8,357.35,-483.74999999999915,97.55949843250002,-581.3094984324991,Reversal,2024-10-03,0,False,75,199381
2024-09-11 13:25:00,2024-09-11 14:15:00,BUY_PE,BEARISH,25062.95,25100,PE,1,287.5,366.0,5887.5,95.903396425,5791.596603575,Target,2024-10-03,0,False,75,198799
2024-09-11 14:15:00,2024-09-11 15:15:00,BUY_PE,BEARISH,24948.4,25000,PE,1,318.0,324.75,506.25,92.53929651250002,413.7107034875,IntradayExit,2024-10-03,0,False,75,204591
2024-09-12 09:35:00,2024-09-12 12:10:00,BUY_CE,BULLISH,25009.95,24950,CE,1,404.6,385.35,-1443.75,101.9207378725,-1545.6707378725,Reversal,2024-10-03,0,False,75,205005
2024-09-12 12:15:00,2024-09-12 14:10:00,BUY_CE,BULLISH,25002.15,24950,CE,1,385.35,500.0,8598.749999999998,113.4843806425,8485.265619357499,Target,2024-10-03,0,False,75,203459
2024-09-12 14:10:00,2024-09-12 15:05:00,BUY_CE,BULLISH,25204.7,25150,CE,1,357.3,470.6,8497.5,109.40472314500003,8388.095276855,Target,2024-10-03,0,False,75,211944
2024-09-12 15:05:00,2024-09-12 15:15:00,BUY_CE,BULLISH,25414.35,25350,CE,1,350.0,325.55,-1833.749999999999,93.70556415250002,-1927.4555641524992,IntradayExit,2024-10-03,0,False,75,220332
