bar,dir,trigger,outcome
2024-07-12 09:40:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-12 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-12 10:20:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-12 11:50:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-12 13:25:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-12 15:05:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-15 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-15 09:50:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-15 10:05:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-15 11:30:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-15 12:40:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-15 12:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-15 14:05:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 10:05:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 11:30:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 12:25:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 13:05:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 13:50:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-16 15:25:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 09:40:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 09:45:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 10:25:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 11:00:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-18 12:20:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-19 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-19 10:05:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-19 14:25:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 10:05:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 11:35:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 12:05:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 13:30:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 14:40:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-22 15:05:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-23 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-23 10:05:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
2024-07-23 11:05:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS exp=2024-10-03
