entry_time,exit_time,strike,ce_entry,pe_entry,ce_exit,pe_exit,entry_val,exit_val,pnl,date,month
2024-10-03 09:15:00,2024-10-03 09:16:00,25500,123.8,68.95,118.75,57.85,192.75,176.6,5248.750000000002,2024-10-03,2024-10
2024-10-03 09:16:00,2024-10-03 09:18:00,25600,59.55,98.1,49.8,118.3,157.64999999999998,168.1,-3396.2500000000055,2024-10-03,2024-10
2024-10-03 09:18:00,2024-10-03 09:22:00,25500,100.6,70.2,105.4,57.0,170.8,162.4,2730.000000000002,2024-10-03,2024-10
2024-10-03 09:22:00,2024-10-03 10:03:00,25600,49.55,104.05,35.0,89.1,153.6,124.1,9587.5,2024-10-03,2024-10
2024-10-03 10:03:00,2024-10-03 10:04:00,25500,85.55,39.35,91.9,38.4,124.9,130.3,-1755.0000000000018,2024-10-03,2024-10
2024-10-03 10:04:00,2024-10-03 10:06:00,25600,39.45,86.2,37.79,91.35,125.65,129.14,-1134.2499999999936,2024-10-03,2024-10
2024-10-03 10:06:00,2024-10-03 10:10:00,25600,37.79,91.35,39.0,100.65,129.14,139.65,-3415.7500000000064,2024-10-03,2024-10
2024-10-03 10:10:00,2024-10-03 11:21:00,25500,85.55,48.85,35.15,107.0,134.4,142.15,-2518.75,2024-10-03,2024-10
2024-10-03 11:21:00,2024-10-03 13:10:00,25400,78.7,49.9,20.2,61.8,128.6,82.0,15144.999999999998,2024-10-03,2024-10
2024-10-03 13:10:00,2024-10-03 13:11:00,25400,20.2,61.8,19.0,63.55,82.0,82.55,-178.7499999999991,2024-10-03,2024-10
2024-10-03 13:11:00,2024-10-03 13:12:00,25300,68.0,12.0,74.9,10.95,80.0,85.85000000000001,-1901.2500000000027,2024-10-03,2024-10
2024-10-03 13:12:00,2024-10-03 13:13:00,25400,21.95,58.55,19.39,62.95,80.5,82.34,-598.0000000000011,2024-10-03,2024-10
2024-10-03 13:13:00,2024-10-03 13:14:00,25300,68.7,11.5,69.45,11.65,80.2,81.10000000000001,-292.5000000000018,2024-10-03,2024-10
2024-10-03 13:14:00,2024-10-03 13:53:00,25300,69.45,11.65,12.65,68.15,81.10000000000001,80.80000000000001,97.49999999999908,2024-10-03,2024-10
2024-10-03 13:53:00,2024-10-03 13:54:00,25200,64.59,18.75,67.25,17.55,83.34,84.8,-474.49999999999795,2024-10-03,2024-10
2024-10-03 13:54:00,2024-10-03 13:55:00,25300,13.7,64.75,10.15,85.65,78.45,95.80000000000001,-5638.750000000003,2024-10-03,2024-10
2024-10-03 13:55:00,2024-10-03 13:57:00,25200,51.9,27.2,91.45,12.05,79.1,103.5,-7930.000000000002,2024-10-03,2024-10
2024-10-03 13:57:00,2024-10-03 14:03:00,25300,22.05,43.75,11.5,65.9,65.8,77.4,-3770.0000000000027,2024-10-03,2024-10
2024-10-03 14:03:00,2024-10-03 14:04:00,25200,62.55,16.95,70.2,14.0,79.5,84.2,-1527.500000000001,2024-10-03,2024-10
2024-10-03 14:04:00,2024-10-03 14:06:00,25300,14.45,56.8,13.25,61.7,71.25,74.95,-1202.500000000001,2024-10-03,2024-10
2024-10-03 14:06:00,2024-10-03 14:07:00,25300,13.25,61.7,10.7,64.3,74.95,75.0,-16.249999999999076,2024-10-03,2024-10
2024-10-03 14:07:00,2024-10-03 14:13:00,25200,61.6,14.65,65.2,10.05,76.25,75.25,325.0,2024-10-03,2024-10
2024-10-03 14:13:00,2024-10-03 14:19:00,25300,11.8,55.5,7.45,58.65,67.3,66.1,390.0000000000009,2024-10-03,2024-10
2024-10-03 14:19:00,2024-10-03 14:20:00,25200,57.35,9.44,59.4,8.9,66.79,68.3,-490.74999999999704,2024-10-03,2024-10
2024-10-03 14:20:00,2024-10-03 14:22:00,25200,59.4,8.9,60.5,8.85,68.3,69.35,-341.2499999999991,2024-10-03,2024-10
2024-10-03 14:22:00,2024-10-03 14:23:00,25200,60.5,8.85,65.45,6.1,69.35,71.55,-715.0000000000009,2024-10-03,2024-10
2024-10-03 14:23:00,2024-10-03 14:25:00,25300,9.05,49.6,7.4,58.0,58.650000000000006,65.4,-2193.75,2024-10-03,2024-10
2024-10-03 14:25:00,2024-10-03 14:27:00,25200,57.4,7.95,59.65,7.25,65.35,66.9,-503.7500000000037,2024-10-03,2024-10
2024-10-03 14:27:00,2024-10-03 14:30:00,25200,59.65,7.25,60.3,5.7,66.9,66.0,292.5000000000018,2024-10-03,2024-10
