bar,direction,trigger,outcome
2024-07-12 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-15 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-16 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-16 14:30:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-16 14:30:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-18 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-18 09:45:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-18 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-18 11:00:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-18 11:00:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-18 12:10:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-18 12:10:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-19 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-19 09:45:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-19 09:45:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-22 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-22 09:45:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-22 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-22 12:25:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-22 12:25:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-23 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-23 11:05:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-23 11:05:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-23 12:00:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-23 12:00:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-23 12:40:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-23 12:40:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-24 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-24 09:45:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-24 09:45:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
